root_id,baseline,LPLC2_L,LPLC2_R,LPLC2_both,LC4_L,LC4_R,LC4_LPLC2_L,cell_type,side
720575940624407944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp36,left
720575940624394498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg12_a,left
720575940652104694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge128,right
720575940628467830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg106,right
720575940607971337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe012,left
720575940644653348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge031,right
720575940630671734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp17,left
720575940614185366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe034,right
720575940619582168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNb04,left
720575940604783136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg56,left
720575940638088511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge084,right
